#
# Directed graph - out-degree Distribution. G(7115, 103689). 870 (0.1223) nodes with out-deg > avg deg (29.1), 462 (0.0649) with >2*avg.deg (Sun Oct  4 15:43:32 2020)
#
# Out-degree	Count
0	1005
1	2382
2	704
3	401
4	279
5	162
6	159
7	131
8	110
9	91
10	79
11	75
12	68
13	61
14	56
15	57
16	48
17	32
18	44
19	40
20	32
21	31
22	30
23	23
24	29
25	19
26	24
27	20
28	25
29	28
30	23
31	25
32	16
33	22
34	15
35	18
36	16
37	15
38	12
39	23
40	10
41	24
42	14
43	10
44	23
45	16
46	13
47	13
48	12
49	11
50	17
51	6
52	12
53	8
54	8
55	8
56	5
57	8
58	5
59	5
60	6
61	9
62	8
63	7
64	7
65	8
66	9
67	3
68	12
69	6
70	7
71	4
72	5
73	3
74	4
75	8
76	6
77	9
78	2
79	11
80	9
81	10
82	3
83	2
84	3
85	3
86	5
87	3
88	5
89	8
90	4
91	5
92	2
93	7
94	3
95	8
96	2
97	2
98	4
99	4
100	5
101	5
102	3
103	4
104	3
105	4
107	1
108	3
109	1
110	1
111	2
112	3
113	4
114	4
115	3
117	3
118	2
119	1
120	1
121	5
122	5
123	5
124	3
126	1
127	1
129	2
131	2
132	1
133	1
135	3
137	1
138	1
139	5
140	1
141	2
142	4
143	1
144	3
145	3
146	4
147	2
148	1
149	2
150	2
152	1
153	1
155	1
156	5
157	2
158	2
160	1
161	1
162	1
164	3
165	1
166	1
168	2
169	1
172	1
173	1
175	1
177	1
180	2
181	2
182	1
183	1
187	1
189	2
190	2
191	2
195	1
196	1
199	2
200	1
202	1
204	1
205	1
210	1
211	1
212	1
213	1
214	2
215	1
216	1
217	1
218	1
222	1
224	1
227	2
228	1
230	2
232	2
238	2
241	2
243	1
244	2
247	1
249	1
252	1
257	1
264	1
269	1
271	2
272	1
273	1
275	1
278	1
282	1
290	1
292	1
297	1
302	1
305	1
307	1
309	1
312	1
314	1
317	1
319	1
321	1
324	1
334	1
355	1
357	1
361	1
362	1
385	1
389	1
399	1
462	1
472	1
587	1
599	1
618	1
732	1
743	1
773	1
893	1
